,Deal Size p-value (mean),Deal Size p-value (median),Deal Size sig. tests,Deal Type 2,Valuation p-value (mean),Valuation p-value (median),Valuation sig. tests,COSS Deal Size Median,CG Deal Size Median (mean),COSS Deal Size Mean,CG Deal Size Mean (mean),COSS Deal Size Count,CG Deal Size Count (mean),COSS Valuation Median,CG Valuation Median (mean),COSS Valuation Mean,CG Valuation Mean (mean),COSS Valuation Count,CG Valuation Count (mean)
0,1.3029001706612079e-08,1.4488140359243755e-09,100/100,Seed Round,0.00013129902415975677,6.506740614577624e-05,100/100,4.0649999999999995,2.7904,4.966515151515151,884.95,198,884.95,11.91,9.220900000000002,17.360796460176992,14.507495556645495,113,473.97
1,0.00183075043567016,0.0005022650894150172,100/100,Series A,4.878975179415544e-06,2.904382065447669e-07,100/100,17.25,12.961149999999998,19.066929133858267,339.75,127,339.75,55.92,34.9611,75.1204854368932,59.86032343068601,103,264.63
2,0.17396098924914363,0.15654442222168344,12/100,Series B,0.021576281911412313,0.014761968051417478,86/100,33.04,32.47060000000001,156.50803921568627,98.29,51,98.29,199.01,162.1704,801.7875609756097,280.92379191067397,41,77.67
3,0.25367741358535706,0.23239780233630883,8/100,Series C,0.07248223132343767,0.046289224768303036,52/100,92.64,64.15825000000001,455.4293333333334,23.04,15,23.04,903.59,517.4129,4563.031818181818,969.7003085823692,11,18.0
4,0.4962063492063492,0.42857142857142855,0/100,Series D,0.3643015873015873,0.3333333333333333,1/100,307.34000000000003,260.02320000000003,307.34000000000003,3.84,2,3.84,2355.3199999999997,2266.9096499999996,2355.3199999999997,3120.2695204761903,2,3.6
