Deal Type 2,count,mean,std,min,25%,50%,75%,max
Seed Round,122.0,5.9645081967213125,9.898774287797389,0.1,2.5875,4.42,6.5024999999999995,105.0
Series A,66.0,22.235454545454548,27.8149842949564,1.2,9.305,16.955,23.24,183.92
Series B,36.0,217.74833333333333,923.5825608899294,9.19,22.9425,31.675,48.36,5561.14
Series C,15.0,445.10333333333335,1422.6394745666375,31.18,49.04,74.5,99.84,5585.71
Series D,5.0,183.158,78.49378650568464,90.37,150.0,163.14,212.08,300.2
Series E,4.0,162.77749999999997,77.57880482666211,74.73,122.1825,158.20999999999998,198.80499999999998,259.96
Series I,1.0,644.44,,644.44,644.44,644.44,644.44,644.44
Series J,1.0,9500.22,,9500.22,9500.22,9500.22,9500.22,9500.22
