Bonne catégorie,Count,Percentage
Core infrastructure / Back-end / Devops,167,20.291616038882136
Data,167,20.291616038882136
AI,136,16.52490886998785
Security,96,11.66464155528554
Devtools,94,11.421628189550425
Business application,85,10.328068043742405
Blockchain,78,9.477521263669502
