Deal Size Gen AI,Deal Size Non Gen AI
197.78,66.75
38.46,192.52
176.3,54.0
71.92,129.33
42.11,172.8
74.5,82.07
52.85,40.57
,95.31
,63.29
,32.64
,31.18
,23.56
,186.76
,69.68
,88.31
,90.87
,58.75
,94.65
,46.2
,50.94
,318.03
,48.52
,49.4
,43.23
,92.64
,42.26
,33.05
,48.68
,103.26
,114.95
,69.76
,96.84
,96.02
,100.68
,165.33
,30.36
,96.67
,41.24
,80.81
,53.9
,31.13
,105.03
,161.2
,66.2
,47.3
,124.53
,5585.71
