Deal Type 2,Next Deal Type,count,mean,std,min,25%,50%,75%,max
Seed Round,Series A,29.0,2.793103448275862,1.9342645399078247,0.0,1.0,3.0,4.0,8.0
Series A,Series B,18.0,2.0555555555555554,1.1099667309387473,1.0,1.0,2.0,2.0,5.0
Series B,Series C,11.0,1.5454545454545454,0.6875516509523286,1.0,1.0,1.0,2.0,3.0
Series B,Series D,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
Series C,Series D,6.0,1.3333333333333333,0.5163977794943222,1.0,1.0,1.0,1.75,2.0
Series D,Series E,4.0,1.75,1.5,1.0,1.0,1.0,1.75,4.0
