,Category,COSS dataset,Control Group
0,AI,23.174603174603174,41.60654160654161
1,Blockchain,6.984126984126984,9.307359307359308
2,Business application,8.253968253968253,23.172198172198172
3,Core infrastructure / Back-end / Devops,19.365079365079367,3.7157287157287158
4,Data,20.634920634920633,13.335738335738338
5,Devtools,10.158730158730158,1.7316017316017316
6,Security,11.428571428571429,7.130832130832131
